Date,Open,High,Low,Close,Adj Close,Volume
2018-01-24,59.249001,59.352501,58.369999,58.564499,58.564499,37128000
2018-01-25,59.035500,59.250000,58.591999,59.106998,59.106998,29984000
2018-01-26,59.376499,59.377998,58.401501,59.377998,59.377998,42170000
2018-01-29,59.400002,59.900002,59.202999,59.324001,59.324001,31494000
2018-01-30,58.886002,59.396500,58.725498,58.868500,58.868500,37338000
2018-01-31,59.190498,59.316002,58.605000,59.111000,59.111000,36022000
2018-02-01,58.799500,59.372501,58.467999,59.079498,59.079498,73514000
2018-02-02,56.370998,56.564999,55.558498,55.959999,55.959999,117842000
2018-02-05,55.030499,55.749500,52.837002,53.119499,53.119499,83550000
2018-02-06,51.699001,54.368999,51.500500,54.221500,54.221500,76630000
2018-02-07,54.248501,54.326500,52.730999,52.770500,52.770500,51942000
2018-02-08,52.993500,53.196499,50.235001,50.385502,50.385502,66792000
2018-02-09,51.293999,52.585999,49.849998,52.313499,52.313499,98360000
2018-02-12,52.833500,53.278500,52.274502,52.728001,52.728001,56240000
2018-02-13,52.500000,53.061001,52.346001,52.707001,52.707001,31586000
2018-02-14,52.716000,53.773499,52.490002,53.634998,53.634998,41304000
2018-02-15,54.172501,54.705002,53.361500,54.568001,54.568001,37396000
2018-02-16,54.668999,55.415501,54.577499,54.775002,54.775002,39948000
2018-02-20,54.638000,55.814499,54.500000,55.179501,55.179501,33754000
2018-02-21,55.455002,56.810001,55.375500,55.687500,55.687500,41486000
2018-02-22,55.958500,56.272999,55.257500,55.494999,55.494999,28010000
2018-02-23,55.932999,56.450001,55.422001,56.404499,56.404499,25292000
2018-02-26,56.592999,57.209999,56.466999,57.185001,57.185001,30912000
2018-02-27,57.185001,57.212502,55.839500,55.875500,55.875500,42964000
2018-02-28,56.099998,56.382500,55.150002,55.195999,55.195999,49292000
2018-03-01,55.477001,55.563499,53.364498,53.570499,53.570499,55338000
2018-03-02,52.898998,54.344501,52.505501,54.207001,54.207001,50162000
2018-03-05,53.906502,55.058998,53.613499,54.737999,54.737999,28648000
2018-03-06,55.105000,55.281502,54.724998,55.044998,55.044998,23382000
2018-03-07,54.640999,55.810001,54.495499,55.751999,55.751999,30748000
2018-03-08,55.860001,56.571999,55.860001,56.469002,56.469002,33862000
2018-03-09,56.974998,58.049999,56.714500,58.042000,58.042000,42662000
2018-03-12,58.252499,58.908001,57.959999,58.296501,58.296501,44306000
2018-03-13,58.591499,58.900002,56.728500,56.995499,56.995499,43140000
2018-03-14,57.290001,57.987999,57.117500,57.444500,57.444500,41870000
2018-03-15,57.478500,58.125000,56.783001,57.530499,57.530499,33382000
2018-03-16,57.767502,57.840500,56.568001,56.721001,56.721001,58656000
2018-03-19,55.888000,55.968498,54.445999,55.003502,55.003502,63656000
2018-03-20,54.919998,55.277500,54.120998,54.790001,54.790001,54598000
2018-03-21,54.628502,55.435001,54.360500,54.700001,54.700001,44898000
2018-03-22,54.000500,54.195999,52.481998,52.657501,52.657501,69312000
2018-03-23,52.568501,53.339001,51.243500,51.327499,51.327499,49880000
2018-03-26,52.529999,52.963501,50.528999,52.704498,52.704498,65984000
2018-03-27,53.195000,53.227001,49.881001,50.347000,50.347000,60816000
2018-03-28,50.095501,51.249500,49.200001,50.258999,50.258999,77698000
2018-03-29,50.560501,52.402500,50.202000,51.856998,51.856998,69338000
2018-04-02,51.381001,51.976501,49.712502,50.631500,50.631500,65068000
2018-04-03,50.807499,51.250000,49.862499,50.933998,50.933998,51322000
2018-04-04,49.911499,51.637001,49.825500,51.485500,51.485500,50724000
2018-04-05,52.319500,52.335499,51.200001,51.632000,51.632000,35836000
2018-04-06,51.154999,51.799999,50.312500,50.497501,50.497501,40134000
2018-04-09,51.001999,52.229500,50.959999,51.004501,51.004501,33220000
2018-04-10,51.513000,52.060501,50.770500,51.825001,51.825001,36620000
2018-04-11,51.599998,51.793499,50.959999,51.252998,51.252998,34060000
2018-04-12,51.573502,52.232498,51.302502,51.864498,51.864498,32896000
2018-04-13,52.344501,52.648998,51.507500,51.801998,51.801998,25410000
2018-04-16,52.277500,52.571499,51.695999,52.305000,52.305000,29776000
2018-04-17,53.060001,54.250000,52.854500,53.967999,53.967999,54584000
2018-04-18,53.950500,54.099998,53.526001,53.769501,53.769501,31126000
2018-04-19,53.451000,54.875500,53.451000,54.472500,54.472500,39884000
2018-04-20,54.213501,54.737499,53.605000,53.866001,53.866001,42434000
2018-04-23,54.148998,54.400002,53.334000,53.690498,53.690498,69590000
2018-04-24,52.959999,53.224499,50.643002,51.132000,51.132000,128220000
2018-04-25,51.487499,51.803501,50.850498,51.149502,51.149502,57860000
2018-04-26,51.660999,52.601002,51.022499,52.165501,52.165501,50926000
2018-04-27,52.277000,52.584999,51.379501,51.572498,51.572498,40746000
2018-04-30,51.721001,51.918499,50.915001,50.929001,50.929001,34492000
2018-05-01,50.814999,52.086498,50.530499,52.037498,52.037498,35326000
2018-05-02,51.700001,52.199001,51.158001,51.302502,51.302502,34698000
2018-05-03,51.268501,51.534500,50.394501,51.314999,51.314999,39282000
2018-05-04,50.980499,52.594002,50.902500,52.549999,52.549999,36892000
2018-05-07,52.694500,53.250000,52.513500,52.973000,52.973000,34400000
2018-05-08,53.230999,53.261501,52.582001,52.929501,52.929501,26030000
2018-05-09,53.205002,54.700001,53.105499,54.447498,54.447498,47160000
2018-05-10,54.750000,55.470501,54.694000,55.273499,55.273499,36414000
2018-05-11,55.020500,55.450500,54.861000,55.168999,55.168999,30504000
2018-05-14,55.278500,55.907501,55.240002,55.330002,55.330002,39338000
2018-05-15,54.845001,54.956001,53.938999,54.243500,54.243500,35738000
2018-05-16,54.254501,54.719002,54.081501,54.204498,54.204498,25628000
2018-05-17,54.073002,54.549999,53.820999,54.063000,54.063000,25738000
2018-05-18,53.299999,53.686501,53.234001,53.481998,53.481998,35482000
2018-05-21,53.950001,54.665001,53.900002,54.200500,54.200500,25180000
2018-05-22,54.490002,54.590000,53.612999,53.765499,53.765499,22226000
2018-05-23,53.500000,54.400002,53.348000,54.298000,54.298000,23740000
2018-05-24,54.345001,54.355999,53.615002,54.272499,54.272499,20604000
2018-05-25,54.327499,54.478500,54.130001,54.203999,54.203999,22224000
2018-05-29,53.799999,54.067001,53.153999,53.403500,53.403500,36076000
2018-05-30,53.674000,53.949501,53.327499,53.873501,53.873501,28686000
2018-05-31,54.099998,55.500000,53.900002,55.000000,55.000000,79368000
2018-06-01,55.643501,56.908001,55.600498,56.750000,56.750000,63202000
2018-06-04,56.924999,57.893002,56.849998,57.652000,57.652000,44754000
2018-06-05,57.733002,58.055000,57.373001,57.550999,57.550999,32964000
2018-06-06,57.638500,57.735500,56.816002,57.347500,57.347500,34934000
2018-06-07,57.229000,57.293499,56.306000,56.721001,56.721001,36108000
2018-06-08,56.560501,56.938999,56.161499,56.635502,56.635502,27284000
2018-06-11,56.646999,57.387001,56.570000,57.044998,57.044998,24796000
2018-06-12,57.050999,57.437500,57.050999,57.409500,57.409500,26092000
2018-06-13,57.613998,57.782001,57.168999,57.211498,57.211498,34302000
2018-06-14,57.610500,58.299500,57.529999,58.005501,58.005501,35422000
2018-06-15,57.995998,58.195499,57.684502,57.963501,57.963501,44438000
2018-06-18,57.634499,59.206501,57.549999,59.179001,59.179001,33038000
2018-06-19,58.505501,59.140499,58.080502,58.934502,58.934502,47282000
2018-06-20,59.165001,60.074501,59.101501,59.203499,59.203499,51686000
2018-06-21,59.275501,59.516499,58.174000,58.472000,58.472000,44966000
2018-06-22,58.574501,58.750000,57.982498,58.464500,58.464500,34220000
2018-06-25,57.750000,57.799500,55.994999,56.964001,56.964001,57682000
2018-06-26,57.207001,57.343498,56.450001,56.631001,56.631001,34688000
2018-06-27,56.799999,57.310501,55.834999,55.847000,55.847000,34538000
2018-06-28,55.619499,56.700001,55.303501,56.339001,56.339001,29726000
